"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","RPL10A (pp) RPL9","false","pp","RPL10A (pp) RPL9","0.996",,"0.9","0.992",,"0.219","0.999","0.672"
"pp","RPL10A (pp) RPL17","false","pp","RPL10A (pp) RPL17","0.998",,"0.9","0.991",,"0.111","0.999","0.325"
"pp","RPL10A (pp) RPS18","false","pp","RPL10A (pp) RPS18","0.999",,"0.9","0.992",,"0.219","0.999","0.325"
"pp","RPL10A (pp) RPL31","false","pp","RPL10A (pp) RPL31","0.991",,"0.9","0.962",,"0.219","0.999","0.701"
"pp","RPL10A (pp) RPL14","false","pp","RPL10A (pp) RPL14","0.982",,"0.9","0.991",,,"0.999","0.227"
"pp","RPL10A (pp) RPL24","false","pp","RPL10A (pp) RPL24","0.985",,"0.9","0.992",,,"0.999","0.609"
"pp","RPL10A (pp) RPS6","false","pp","RPL10A (pp) RPS6","0.998",,"0.9","0.992",,,"0.999","0.527"
"pp","RPL10A (pp) ISG15","false","pp","RPL10A (pp) ISG15","0.145",,,"0.574",,,"0.637","0.085"
"pp","RPL10A (pp) RPL11","false","pp","RPL10A (pp) RPL11","0.997",,"0.9","0.992",,"0.219","0.999","0.573"
"pp","RPS6 (pp) RPS10","false","pp","RPS6 (pp) RPS10","0.996",,"0.9","0.991",,,"0.999","0.707"
"pp","RPS6 (pp) RPS5","false","pp","RPS6 (pp) RPS5","0.996",,"0.9","0.991",,,"0.999","0.534"
"pp","RPS6 (pp) RPS19","false","pp","RPS6 (pp) RPS19","0.996",,"0.9","0.992",,,"0.999","0.813"
"pp","RPS6 (pp) RPL27","false","pp","RPS6 (pp) RPL27","0.996",,"0.9","0.992",,,"0.999","0.321"
"pp","RPS6 (pp) RPL26","false","pp","RPS6 (pp) RPL26","0.997",,"0.9","0.992",,,"0.999","0.711"
"pp","RPS6 (pp) RPL28","false","pp","RPS6 (pp) RPL28","0.992",,"0.9","0.958",,,"0.999","0.63"
"pp","RPS6 (pp) RPLP0","false","pp","RPS6 (pp) RPLP0","0.996",,"0.9","0.992",,,"0.999","0.517"
"pp","RPS6 (pp) RPL30","false","pp","RPS6 (pp) RPL30","0.99",,"0.9","0.992",,,"0.999","0.739"
"pp","RPS6 (pp) RPL35A","false","pp","RPS6 (pp) RPL35A","0.992",,"0.9","0.992",,,"0.999","0.55"
"pp","RPS6 (pp) RPL37A","false","pp","RPS6 (pp) RPL37A","0.956",,"0.9","0.992",,,"0.999","0.506"
"pp","RPS6 (pp) RPL36A","false","pp","RPS6 (pp) RPL36A","0.775",,"0.9","0.957",,,"0.999","0.572"
"pp","RPS6 (pp) RPL9","false","pp","RPS6 (pp) RPL9","0.997",,"0.9","0.992",,,"0.999","0.626"
"pp","RPS6 (pp) RPL17","false","pp","RPS6 (pp) RPL17","0.987",,"0.9","0.991",,,"0.999","0.24"
"pp","RPS6 (pp) RPS18","false","pp","RPS6 (pp) RPS18","0.997",,"0.9","0.992",,,"0.999","0.666"
"pp","RPS6 (pp) RPL31","false","pp","RPS6 (pp) RPL31","0.991",,"0.9","0.962",,,"0.999","0.661"
"pp","RPS6 (pp) RPL14","false","pp","RPS6 (pp) RPL14","0.988",,"0.9","0.991",,,"0.999","0.65"
"pp","RPS6 (pp) RPL24","false","pp","RPS6 (pp) RPL24","0.99",,"0.9","0.991",,"0.219","0.999","0.636"
"pp","JAK1 (pp) PRKCA","false","pp","JAK1 (pp) PRKCA",,,,"0.363",,,"0.417","0.122"
"pp","JAK1 (pp) MAVS","false","pp","JAK1 (pp) MAVS","0.057",,,,,,"0.428","0.419"
"pp","JAK1 (pp) IL6ST","false","pp","JAK1 (pp) IL6ST","0.09",,"0.9","0.421",,,"0.973","0.556"
"pp","JAK1 (pp) ISG15","false","pp","JAK1 (pp) ISG15",,,"0.9","0.088",,,"0.956","0.565"
"pp","JAK1 (pp) JUN","false","pp","JAK1 (pp) JUN","0.062",,,"0.079",,,"0.53","0.499"
"pp","RPL3 (pp) RPS10","false","pp","RPL3 (pp) RPS10","0.993",,"0.9","0.989",,,"0.999","0.611"
"pp","RPL3 (pp) RPS5","false","pp","RPL3 (pp) RPS5","0.996",,"0.9","0.978",,"0.135","0.999","0.672"
"pp","RPL3 (pp) RPS19","false","pp","RPL3 (pp) RPS19","0.998",,"0.9","0.991",,,"0.999","0.728"
"pp","RPL3 (pp) RPL27","false","pp","RPL3 (pp) RPL27","0.992",,"0.9","0.989",,"0.11","0.999","0.413"
"pp","RPL3 (pp) RPL26","false","pp","RPL3 (pp) RPL26","0.994","0.294","0.9","0.989",,"0.11","0.999","0.7"
"pp","RPL3 (pp) RPL28","false","pp","RPL3 (pp) RPL28","0.988",,"0.9","0.947",,,"0.999","0.636"
"pp","RPL3 (pp) RPLP0","false","pp","RPL3 (pp) RPLP0","0.995",,"0.9","0.986",,"0.135","0.999","0.512"
"pp","RPL3 (pp) RPL30","false","pp","RPL3 (pp) RPL30","0.991",,"0.9","0.989",,,"0.999","0.767"
"pp","RPL3 (pp) RPL35A","false","pp","RPL3 (pp) RPL35A","0.991",,"0.9","0.991",,,"0.999","0.434"
"pp","RPL3 (pp) RPL37A","false","pp","RPL3 (pp) RPL37A","0.924",,"0.9","0.991",,,"0.999","0.288"
"pp","RPL3 (pp) RPL36A","false","pp","RPL3 (pp) RPL36A","0.567",,"0.9","0.949",,,"0.998","0.479"
"pp","RPL3 (pp) RPL9","false","pp","RPL3 (pp) RPL9","0.997","0.354","0.9","0.987",,"0.185","0.999","0.735"
"pp","RPL3 (pp) RPL17","false","pp","RPL3 (pp) RPL17","0.999",,"0.9","0.989",,"0.081","0.999","0.157"
"pp","RPL3 (pp) RPS18","false","pp","RPL3 (pp) RPS18","0.999",,"0.9","0.991",,"0.185","0.999","0.585"
"pp","RPL3 (pp) RPL31","false","pp","RPL3 (pp) RPL31","0.987",,"0.9","0.952",,,"0.999","0.533"
"pp","RPL3 (pp) RPL14","false","pp","RPL3 (pp) RPL14","0.989",,"0.9","0.989",,"0.11","0.999","0.733"
"pp","RPL3 (pp) RPL24","false","pp","RPL3 (pp) RPL24","0.977",,"0.9","0.99",,,"0.999","0.604"
"pp","RPL3 (pp) RPS6","false","pp","RPL3 (pp) RPS6","0.997",,"0.9","0.989",,,"0.999","0.659"
"pp","RPL3 (pp) RPL11","false","pp","RPL3 (pp) RPL11","0.995",,"0.9","0.991",,"0.185","0.999","0.667"
"pp","RPL3 (pp) RPL10A","false","pp","RPL3 (pp) RPL10A","0.999",,"0.9","0.989",,"0.135","0.999","0.695"
"pp","RPL3 (pp) RPS4X","false","pp","RPL3 (pp) RPS4X","0.998","0.374","0.9","0.99",,"0.185","0.999","0.483"
